Key,en,es,ar,fr
Database Connection,Database Connection,Conexión a la base de datos,اتصال قاعدة البيانات,Connexion à la base de données
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Nom d'utilisateur de la base de données
PHP Version,PHP Version,Versión de PHP,إصدار PHP,Version PHP
Laravel Version,Laravel Version,Versión de Laravel,إصدار لارافيل,Version Laravel
Server Software,Server Software,Software de servidor,برنامج الخادم,Logiciel serveur
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخاص بالخادم,Adresse IP du serveur
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole du serveur
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Fuseau horaire
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*,Méthode d'envoi d'e-mail*
SMTP,SMTP,SMTP,بروتوكول نقل البريد البسيط,SMTP
Send Mail,Send Mail,Enviar correo,إرسال البريد,Envoyer un courrier
Host,Host,Anfitrión,يستضيف,Hôte
Port,Port,Puerto,ميناء,Port
Encryption,Encryption,Cifrado,التشفير,Cryptage
Email Body,Email Body,Cuerpo del correo electrónico,نص البريد الإلكتروني,Corps de l'e-mail
Field Name,Field Name,Nombre del campo,اسم الحقل,Nom du champ
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميغابايت),Taille maximale du fichier (Mo)
File Extension,File Extension,Extensión de archivo,امتداد الملف,Extension de fichier
Min Character,Min Character,Carácter mínimo,الحد الأدنى للشخصية,Caractère minimum
Max Character,Max Character,Personaje máximo,ماكس كاركتر,Caractère Max
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال,Nécessité du terrain
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Category,Add Category,Agregar categoría,إضافة فئة,Ajouter une catégorie
Update Category,Update Category,Actualizar categoría,تحديث الفئة,Mettre à jour la catégorie
Category,Category,Categoría,فئة,Catégorie
Tags,Tags,Etiquetas,العلامات,Mots clés
Heading,Heading,Título,عنوان,Titre
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Sous-titre
Button Name,Button Name,Nombre del botón,اسم الزر,Nom du bouton
Button Link,Button Link,Enlace de botón,رابط الزر,Lien du bouton
Add Item,Add Item,Agregar artículo,إضافة عنصر,Ajouter un élément
Edit Item,Edit Item,Editar artículo,تحرير العنصر,Modifier l'élément
Icon,Icon,Icono,رمز,Icône
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة معلومات الإعلان,Tableau de bord des annonces
Total Category,Total Category,Categoría total,إجمالي الفئة,Catégorie totale
Active Category,Active Category,Categoría activa,الفئة النشطة,Catégorie active
Total Announcement,Total Announcement,Anuncio total,إعلان إجمالي,Annonce totale
Active Announcement,Active Announcement,Anuncio activo,إعلان نشط,Annonce active
Video Link,Video Link,Enlace de vídeo,رابط الفيديو,Lien vidéo
Designation,Designation,Designación,تعيين,Désignation
Comment,Comment,Comentario,تعليق,Commentaire
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات,Commentaires sur les mises à jour
Star,Star,Estrella,نجم,Étoile
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Section Contact
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية,Liens sociaux
Link,Link,Enlace,وصلة,Lien
Edit Glance,Edit Glance,Editar Vistazo,نظرة سريعة على التحرير,Modifier Coup d'œil
Content,Content,Contenido,محتوى,Contenu
Edit Service,Edit Service,Servicio de edición,خدمة التحرير,Service d'édition
Edit Solution,Edit Solution,Editar solución,تعديل الحل,Modifier la solution
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد إلى الجميع,Envoyer un courrier à tous
Ticket ID,Ticket ID,Identificación del ticket,معرف التذكرة,ID du billet
Support Ticket,Support Ticket,Ticket de soporte,تذكرة الدعم,Ticket d'assistance
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Last Reply,Last Reply,Última respuesta,الرد الأخير,Dernière réponse
Slug,Slug,Babosa,سبيكة,Limace
Add link,Add link,Añadir enlace,إضافة رابط,Ajouter un lien
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟,Êtes-vous sûr de vouloir supprimer ce lien ?
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
Receive,Receive,Recibir,يستلم,Recevoir
Total Money Out,Total Money Out,Total de dinero retirado,إجمالي الأموال الخارجة,Total des sorties d'argent
Canceled,Canceled,Cancelado,تم الإلغاء,Annulé
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Présentation de l'utilisateur
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar saldo,إضافة/طرح الرصيد,Ajouter/Soustraire le solde
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connectez-vous en tant que membre
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique
Last Login,Last Login,Último inicio de sesión,آخر تسجيل دخول,Dernière connexion
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur
Edit KYC,Edit KYC,Editar KYC,تعديل KYC,Modifier KYC
Information of Logs,Information of Logs,Información de Registros,معلومات السجلات,Informations sur les journaux
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!
Approve,Approve,Aprobar,يعتمد,Approuver
Reject,Reject,Rechazar,يرفض,Rejeter
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Les informations KYC n'ont pas encore été soumises
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة؟,Êtes-vous sûr d'approuver
KYC information.,KYC information.,Información KYC.,معلومات KYC.,Informations KYC.
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل دخول المستخدم,Journaux de connexion des utilisateurs
SL.,SL.,SL.,س.ل.,SL.
IP,IP,Propiedad intelectual,عنوان IP,propriété intellectuelle
MAC,MAC,IMPERMEABLE,ماك,MAC
Location,Location,Ubicación,موقع,Emplacement
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation
Login at,Login at,Iniciar sesión en,تسجيل الدخول في,Connectez-vous à
USER,USER,USUARIO,مستخدم,UTILISATEUR
Send,Send,Enviar,يرسل,Envoyer
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode)
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع,Couleur de base du site
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع,Couleur secondaire du site
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP,Expiration du mot de passe à usage unique
Web Version,Web Version,Versión web,نسخة الويب,Version Web
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version allégée)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (النسخة الداكنة),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),أيقونة مفضلة (الإصدار الخفيف),Favicon (version allégée)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),أيقونة المفضلة (النسخة المظلمة),Favicon (version sombre)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO)
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:,Image miniature :
Social Title,Social Title,Título social,اللقب الاجتماعي,Titre social
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به,401 - Non autorisé
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!,Non autorisé...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع,403 - Interdit
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!,Interdit...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - لم يتم العثور على الصفحة,404 - Page non trouvée
Page Not Found...!,Page Not Found...!,Página no encontrada...!,لم يتم العثور على الصفحة...!,Page non trouvée...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة,419 - Page expirée
Page Expired...!,Page Expired...!,¡Página expirada...!,انتهت صلاحية الصفحة...!,Page expirée...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم,500 - Erreur du serveur
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!,Erreur du serveur...!
Public,Public,Público,عام,Publique
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
